tcgId,foil,directLow,market,low,mid,high
456,True,,,,,
457,False,24.67,23.79,22.7,27.57,50.88
457,True,,,,,
458,False,48.98,56.0,47.99,54.81,59.99
458,True,,,,,
459,False,28.88,25.02,23.51,31.01,64.99
459,True,,,,,
460,False,5.63,5.8,4.5,6.99,42.95
460,True,,,,,
461,False,20.32,,17.0,21.0,976.76
461,True,,,,,
462,False,5.62,6.31,5.62,17.61,976.76
462,True,,,,,
463,False,3.55,4.32,3.55,5.0,985.0
463,True,,,,,
464,False,2.71,4.69,2.24,4.92,103.99
464,True,,,,,
467,False,33.98,36.49,32.8,35.88,49.99
467,True,,,,,
468,False,3.21,6.14,4.49,5.49,999.99
468,True,,,,,
469,False,976.76,67.04,58.0,63.8,976.76
469,True,,,,,
470,False,1561.58,57.5,131.9,136.77,1561.58
470,True,,,,,
471,False,30.48,18.14,16.65,26.77,30.48
471,True,,,,,
472,False,295.0,95.0,295.0,295.0,295.0
472,True,,,,,
473,False,299.99,20.0,299.99,299.99,299.99
473,True,,,,,
474,False,69.59,89.5,89.5,95.34,400.0
474,True,,,,,
475,False,2.29,3.04,2.97,4.05,153.99
475,True,,,,,
476,False,,264.99,224.5,244.75,264.99
476,True,,,,,
477,False,,1599.0,1749.99,1799.0,19750.0
477,True,,,,,
478,False,3.82,2.93,3.33,4.51,976.76
478,True,,,,,
479,False,1.06,3.81,1.08,4.99,83.99
479,True,,,,,
482,False,64.04,65.0,54.0,82.65,553.99
482,True,,,,,
483,False,232.46,58.79,98.0,186.23,234.02
483,True,,,,,
484,False,,139.99,499.99,101322.25,202144.51
484,True,,,,,
485,False,307.92,328.02,307.92,307.93,328.02
485,True,,,,,
486,False,85.0,69.99,78.0,119.75,359.25
486,True,,,,,
487,False,32.89,42.28,32.89,39.99,976.76
487,True,,,,,
488,False,94.99,99.99,94.99,109.56,125.05
488,True,,,,,
489,False,189.99,185.99,109.95,179.99,218.42
489,True,,,,,
490,False,82.53,85.63,82.53,86.39,94.53
490,True,,,,,
491,False,96.93,99.71,96.93,97.05,607.32
491,True,,,,,
492,False,33.95,47.66,33.95,38.5,98.49
492,True,,,,,
493,False,9976.76,292.0,349.8,8015.0,9976.76
493,True,,,,,
494,False,,55.51,47.84,163.92,280.0
494,True,,,,,
495,False,599.95,199.99,599.95,9976.76,212623.15
495,True,,,,,
496,False,4.97,3.89,3.02,5.49,976.76
496,True,,,,,
497,False,4.16,6.54,3.99,5.64,53.99
497,True,,,,,
498,False,14.49,18.14,14.49,18.04,976.76
498,True,,,,,
501,False,4.15,4.94,3.12,6.24,976.76
501,True,,,,,
502,False,38.46,37.89,17.65,39.08,976.76
502,True,,,,,
503,False,226.88,129.5,101.42,112.11,258.19
503,True,,,,,
504,False,151.98,115.48,146.99,149.49,151.98
504,True,,,,,
505,False,19.46,12.17,10.06,19.47,29.99
505,True,,,,,
506,False,1.92,3.76,1.75,3.65,59.38
506,True,,,,,
509,False,24.91,17.49,24.05,37.98,410.0
509,True,,,,,
510,False,2.67,6.7,2.1,3.39,153.99
510,True,,,,,
511,False,23.93,,22.0,28.92,976.76
511,True,,,,,
512,False,,599.99,453.0,535.75,999.99
512,True,,,,,
513,False,15.25,19.6,14.72,15.99,29.37
513,True,,,,,
514,False,29.95,29.75,26.84,29.83,203.99
514,True,,,,,
515,False,,80.01,64.99,72.99,99.99
515,True,,,,,
516,False,39.98,6.09,3.1,7.99,203.99
516,True,,,,,
410,False,0.24,0.63,0.4,0.6,1.37
410,True,,,,,
411,False,0.14,0.31,0.15,0.44,5.11
411,True,,,,,
412,False,0.19,0.34,0.25,0.53,5.11
412,True,,,,,
413,False,0.15,0.35,0.12,0.25,16.89
413,True,,,,,
414,False,0.13,0.33,0.13,0.44,2.72
414,True,,,,,
